20160105-0258,70.97%
20160105-1157,70.97%
20160105-2238,70.97%
20160106-0302,64.52%
20160106-1200,70.97%
20160106-1454,70.97%
20160106-1838,74.19%
20160107-0022,74.19%
20160107-1142,80.65%
20160107-1436,80.65%
20160107-1910,74.19%
20160107-2242,74.19%
20160108-0317,77.42%
20160108-1755,77.42%
20160108-2321,77.42%
20160109-0255,70.97%
20160110-1138,77.42%
20160110-1138,74.19%
20160111-1921,74.19%
20160112-0308,77.42%
20160112-1447,77.42%
20160112-1834,70.97%
20160112-2237,74.19%
20160113-0323,70.97%
20160114-2237,74.19%
20160115-1436,77.42%
20160116-0236,77.42%
20160116-1134,80.65%
20160119-0016,19.35%
20160119-1141,19.35%
20160119-1847,13.33%
20160120-0230,16.67%
20160120-1913,13.33%
20160121-0236,13.33%
20160121-1445,13.33%
20160121-2231,97.37%
20160122-0249,84.21%
20160122-1140,94.74%
20160122-2235,94.74%
20160123-0232,92.11%
20160123-1135,100.00%
20160125-1436,94.74%
20160125-1845,94.74%
20160125-2241,97.37%
20160126-0234,97.37%
20160126-1911,94.74%
20160127-0231,97.37%
20160127-1137,92.11%
20160127-1434,97.37%
20160128-1626,92.11%
20160128-1850,97.37%
20160128-2023,89.47%
20160128-2238,100.00%
20160129-0231,94.74%
20160129-1144,97.37%
20160129-1442,97.37%
20160129-1841,94.74%
20160129-2238,92.11%
20160130-0232,94.74%
20160201-1443,94.74%
20160201-1835,97.37%
20160202-1837,97.37%
20160202-2231,97.37%
20160203-0234,97.37%
20160203-1144,89.47%
20160203-1828,97.37%
20160203-2253,94.74%
20160204-0237,89.47%
20160204-1446,94.74%
20160205-0032,94.74%
20160205-0658,94.74%
20160205-0658,94.74%
20160206-2103,92.11%
20160208-1839,92.11%
20160208-2344,94.74%
20160209-1136,92.11%
20160209-1443,94.74%
20160209-1843,92.11%
20160209-2310,92.11%
20160210-0233,94.74%
20160210-1146,94.74%
20160210-1835,92.11%
20160210-2230,94.74%
20160211-1139,89.47%
20160211-1439,94.74%
20160211-1842,94.74%
20160211-2251,94.74%
20160212-0226,94.74%
20160212-1443,92.11%
20160212-1833,92.11%
20160212-2229,89.47%
20160213-0233,92.11%
20160214-0232,80.95%
20160215-0233,85.37%
20160215-1145,85.37%
20160215-1907,25.53%
20160216-0233,92.11%
20160216-1145,94.74%
20160216-1443,92.11%
20160216-1839,92.11%
20160216-2305,94.74%
20160217-0228,89.47%
20160217-1140,92.11%
20160217-1459,92.11%
20160217-2022,89.47%
20160217-2234,94.74%
20160218-0228,80.00%
20160218-1916,66.30%
20160218-2233,57.09%
20160219-1510,57.73%
20160220-0242,57.73%
20160221-1432,57.90%
20160222-0234,52.17%
20160222-1135,49.28%
20160222-1441,52.17%
20160222-1849,57.55%
20160224-2208,81.82%
20160226-2007,72.22%
20160228-1138,72.92%
20160301-0240,72.57%
20160302-2108,72.70%
20160305-0030,86.50%
20160305-1841,87.10%
20160307-2245,87.50%
20160310-0118,86.13%
20160313-1049,90.91%
20160318-0536,88.68%
20160325-1414,79.44%
20160326-0132,89.38%
20160328-1951,46.49%
20160329-0234,46.90%
20160329-1129,46.90%
20160329-1430,46.90%
20160329-1832,46.90%
20160329-2053,46.90%
20160330-0236,46.90%
20160330-1433,46.90%
20160330-1835,46.90%
20160330-2237,46.90%
20160331-0249,46.90%
20160331-1143,46.90%
20160331-2239,46.90%
20160331-2239,93.52%
20160401-2042,89.38%
20160402-0235,90.68%
20160402-2235,90.68%
20160403-1138,89.83%
20160403-1429,90.68%
20160403-1830,90.68%
20160414-1849,95.76%
20160414-2241,95.76%
20160415-1532,96.61%
20160415-2236,96.61%
20160417-0315,94.92%
20160418-1551,95.76%
20160420-1435,42.11%
20160420-1848,42.11%
20160420-2311,54.35%
20160421-1159,53.62%
20160422-0239,52.90%
20160422-1841,54.35%
20160423-0245,60.98%
20160424-0239,59.35%
20160424-1912,97.46%
20160425-0235,98.31%
20160425-1844,98.31%
20160425-2246,98.31%
20160426-2240,98.31%
20160427-0242,95.76%
20160427-1841,99.35%
20160428-0245,98.69%
20160428-1926,98.37%
20160429-0240,98.72%
20160429-2313,99.41%
20160430-1844,99.41%
20160501-1840,99.12%
20160504-1619,99.41%
20160505-0553,99.12%
20160505-2054,92.21%
20160506-0540,64.81%
20160506-1900,92.47%
20160508-1710,98.70%
20160509-2035,92.25%
20160510-0209,98.97%
20160511-0446,99.74%
20160516-0555,99.74%
20160516-1438,100.00%
20160516-2243,99.74%
20160517-1140,99.74%
20160518-1515,99.22%
20160519-1700,99.74%
20160520-2349,99.48%
20160521-0230,99.22%
20160521-0230,98.97%
20160523-2244,98.45%
20160529-0237,95.90%
20160531-1140,98.97%
20160602-2243,98.19%
20160603-0246,88.92%
20160604-1322,98.97%
20160606-1603,64.91%
20160607-0249,98.71%
20160607-1839,96.02%
20160608-0253,98.71%
20160609-0036,98.71%
20160609-2029,98.97%
20160610-1833,98.97%
20160611-0228,98.45%
20160614-1437,98.19%
20160615-0325,98.70%
20160615-1857,97.35%
20160616-0333,98.45%
20160617-2107,98.71%
20160618-0331,98.97%
20160619-1129,98.45%
20160620-1434,94.43%
20160621-0332,97.39%
20160622-0329,99.22%
20160622-2233,98.71%
20160623-1837,96.90%
20160624-1129,98.97%
20160625-0328,98.71%
20160626-0332,98.97%
20160626-1129,98.97%
20160627-1454,98.71%
20160627-2239,98.71%
20160629-0338,98.97%
20160630-1555,42.65%
20160630-2017,92.76%
20160709-0342,79.78%
20160712-1130,98.71%
20160714-1135,98.19%
20160715-1134,99.22%
20160716-0335,99.74%
20160718-1500,99.74%
20160718-2114,99.74%
20160719-2232,98.97%
20160720-2232,99.22%
20160721-1828,99.22%
20160722-1134,99.74%
20160730-0335,90.70%
20160802-1534,90.91%
20160803-2231,98.97%
20160805-1133,99.22%
20160805-2231,95.35%
20160806-1434,98.45%
20160809-1837,98.71%
20160810-0323,99.48%
20160811-0333,99.22%
20160811-1846,98.97%
20160815-1441,98.97%
20160815-2236,98.97%
20160816-2235,98.97%
20160817-1800,99.48%
20160818-0125,98.19%
20160818-1839,99.74%
20160818-2232,99.48%
20160819-1838,99.22%
20160820-0334,99.74%
20160822-2101,99.48%
20160822-2232,99.48%
20160823-2009,99.74%
20160824-2239,99.74%
20160825-0353,99.48%
20160825-2240,99.74%
20160826-0334,99.74%
20160826-2240,99.48%
20160827-0333,99.74%
20160829-1832,100.00%
20160829-2234,99.74%
20160830-1840,99.74%
20160831-1627,100.00%
20160831-2040,100.00%
20160901-1907,99.74%
20160901-2230,100.00%
20160902-1848,90.30%
20160902-2231,90.30%
20160905-1433,90.05%
20160907-1902,100.00%
20160908-0339,99.74%
20160908-1734,99.48%
20160908-2248,100.00%
20160912-0719,98.97%
20160912-1833,98.45%
20160913-1139,98.97%
20160914-0334,98.18%
20160914-1840,98.97%
20160914-2234,97.93%
20160915-2236,98.45%
20160916-1433,98.97%
20160916-2237,98.45%
20160919-1631,98.97%
20160920-0339,98.97%
20160920-1942,98.45%
20160921-1813,97.07%
20160924-0341,98.97%
20160924-1834,98.97%
20160925-1434,98.71%
20160928-0347,98.45%
20160928-1436,98.97%
20160929-1847,98.45%
20160930-0333,98.97%
20160930-1835,98.71%
20161001-0331,98.97%
20161001-2225,98.97%
20161002-1432,98.97%
20161003-2345,98.45%
20161005-0335,98.97%
20161005-1837,97.67%
20161005-2239,98.97%
20161006-1834,98.97%
20161007-0330,98.97%
20161010-2131,98.45%
20161011-1836,98.97%
20161012-0332,98.97%
20161013-1136,98.97%
20161021-1857,98.71%
20161024-2218,98.45%
20161026-0119,98.45%
20161026-1833,98.97%
20161031-1917,98.97%
20161031-2138,98.19%
20161102-0237,98.19%
20161102-1734,98.71%
20161103-0239,98.97%
20161103-2209,98.19%
20161104-0241,98.71%
20161105-0234,98.20%
20161108-0021,98.97%
20161108-0343,98.97%
20161109-1829,98.71%
20161110-1734,98.71%
20161114-0400,98.97%
20161114-2242,98.19%
20161115-2007,98.97%
20161116-2044,98.97%
20161117-0339,98.97%
20161117-1840,98.71%
20161118-0336,98.71%
20161118-2239,98.97%
20161119-1138,98.19%
20161121-1836,90.70%
20161122-1145,91.73%
20161123-1601,91.47%
20161130-1945,91.47%
20161130-2238,90.44%
20161202-1139,98.71%
20161202-1834,98.97%
20161203-1439,98.97%
20161204-0338,98.45%
20161205-1844,98.71%
20161206-0340,98.97%
20161208-1634,98.97%
20161208-2244,98.97%
20161209-1843,98.71%
20161209-2235,98.97%
20161212-1451,98.97%
20161212-2240,98.71%
20161213-0354,98.71%
20161215-0341,98.19%
20161215-1843,98.97%
20161216-1840,98.97%
20161222-1844,98.97%
20161230-1848,98.71%
20170103-1834,98.97%
20170103-2348,98.97%
20170104-1440,98.97%
20170105-1700,98.19%
20170106-0348,96.12%
20170107-0347,95.87%
20170110-1436,66.25%
20170111-1154,66.88%
20170113-1442,66.88%
20170113-2254,66.25%
20170115-1841,98.45%
20170116-1855,0.00%
20170117-1849,98.45%
20170117-2241,97.67%
20170119-0338,98.97%
20170119-1848,98.71%
20170121-0342,98.97%
20170123-2243,98.97%
20170124-1443,98.97%
20170124-2238,96.65%
20170126-2318,96.38%
20170127-2246,98.97%
20170202-1836,98.97%
20170203-1141,98.97%
20170206-2256,98.45%
20170207-1511,98.71%
20170207-1914,98.71%
20170208-1158,98.71%
20170209-0401,98.97%
20170209-1854,98.45%
20170210-0341,98.97%
20170210-1835,98.71%
20170210-2047,98.19%
20170213-2033,98.71%
20170214-1516,98.71%
20170216-1158,98.45%
20170220-2234,98.71%
20170221-1146,98.97%
20170223-0356,98.19%
20170224-1557,98.71%
20170227-1439,98.97%
20170227-2043,98.97%
20170228-1446,98.71%
20170228-2322,98.97%
20170306-1838,98.71%
20170306-2240,98.71%
20170308-1149,98.97%
20170309-0341,98.71%
20170309-2115,98.97%
20170310-1840,98.71%
20170313-1802,98.97%
20170314-1408,98.45%
20170316-0014,98.71%
20170316-1042,98.71%
20170317-0245,98.97%
